BMU,capacity,latitude,longitude,,,,,,,,,,
CRMLW-1,47.5,57.63265,-4.757595,,,,,,,,,,
CRYRW-3,13.8,55.5297,-2.33519,,,,,,,,,,
LARYO-2,152,51.6333,1.5333,,,,,,,,,,
LARYO-3,160,51.6333,1.5333,,,,,,,,,,
LARYO-1,156,51.6333,1.5333,,,,,,,,,,
LARYO-4,156,51.6333,1.5333,,,,,,,,,,
STRNW-1,67,58.474053,-4.015109,,,,,,,,,,
EWHLW-1,36.8,55.1,-3.2,,,,,,,,,,
FSDLW-1,22.2,55.7,-5.5,,,,,,,,,,
ASLVW-1,25,55.10385,-4.49137,,,,,,,,,,
HRHLW-1,29.75,55.391316,-4.187115,,,,,,,,,,
SHRSO-1,157.5,53.1167,1.1333,,,,,,,,,,
SHRSO-2,132,53.1167,1.1333,,,,,,,,,,
